X.SXVP1.,X.SXVP1..1,X0,startloc,endloc
BLRP2,RPRP1,1017.989716,3,34
BLRP2,STVP1,1062.1944,3,35
BLRP2,IDRP1,1114.798655,3,36
BLRP2,NURP1,1134.986723,3,37
BLRP2,SBPP1,1155.284041,3,38
BLRP2,BDQP1,1162.422871,3,39
BLRP2,AMDP1,1249.452052,3,40
BLRP2,KDJP1,1300.542929,3,41
BLRP2,BHCP1,1311.464005,3,42
BLRP2,KHRP1,1322.827021,3,43
BLRP2,CORP1,1382.20645,3,44
BLRP2,JHSP1,1410.63787,3,45
BLRP2,IXWP1,1431.540104,3,46
BLRP2,BHLP1,1435.411346,3,47
BLRP2,VNSP1,1492.733695,3,48
BLRP2,AUBP1,1498.174934,3,49
BLRP2,KNUP1,1523.026807,3,50
BLRP2,DBDP1,1530.106913,3,51
BLRP2,CCUP1,1551.09113,3,52
BLRP2,SYNP1,1580.228255,3,53
BLRP2,JAIP1,1581.534812,3,54
BLRP2,AGRP1,1605.047435,3,55
BLRP2,AGRP2,1614.413568,3,56
BLRP2,GKPP1,1650.285579,3,57
BLRP2,BPCP1,1664.67543,3,58
BLRP2,MZUP1,1686.458017,3,59
BLRP2,DELP1,1724.962271,3,60
BLRP2,DELP3,1782.055463,3,61
BLRP2,PGHP1,1799.303208,3,62
BLRP2,NJPP1,1899.431671,3,63
BLRP2,AMBP1,1944.737786,3,64
BLRP2,BKSP1,1953.789386,3,65
BLRP2,GAUP1,2091.990832,3,66
MULP1,SXVP1,173.056724,4,1
MULP1,KRIP1,80.61923519,4,2
MULP1,BLRP2,88.0628709,4,3
MULP1,MULP1,0,4,4
MULP1,BLRP1,128.6999858,4,5
MULP1,BAGP1,99.18720543,4,6
MULP1,MAAP1,176.8805474,4,7
MULP1,GDRP1,179.6379295,4,8
MULP1,CTAP1,260.7846741,4,9
MULP1,GTYP1,226.3188365,4,10
MULP1,KRNP1,307.7523621,4,11
MULP1,HBXP1,438.0594091,4,12
MULP1,PGRP1,392.3681492,4,13
MULP1,VGAP1,427.2825729,4,14
MULP1,BGMP1,517.4781566,4,15
MULP1,HYDP1,445.8117963,4,16
MULP1,HYDP2,485.4476182,4,17
MULP1,NPWP1,583.0314399,4,18
MULP1,TPNP1,518.5906119,4,19
MULP1,SATP1,512.9786332,4,20
MULP1,SSEP1,580.1503921,4,21
MULP1,STRP1,696.4482468,4,22
MULP1,NDCP1,672.5023106,4,23
MULP1,VTZP1,686.1979517,4,24
MULP1,ADBP1,709.3635368,4,25
MULP1,PNQP1,794.1472264,4,26
MULP1,AWBP1,808.2911783,4,27
MULP1,MLGP1,799.7121318,4,28
MULP1,BOMP1,887.7451041,4,29
MULP1,NAGP1,881.591505,4,30
MULP1,DHIP1,939.3536866,4,31
MULP1,VAPP1,993.4727195,4,32
MULP1,BAMP1,952.0319736,4,33
MULP1,RPRP1,949.8664182,4,34
MULP1,STVP1,1063.080648,4,35
MULP1,IDRP1,1088.152122,4,36
MULP1,NURP1,1083.717873,4,37
MULP1,SBPP1,1077.428199,4,38
MULP1,BDQP1,1156.386459,4,39
MULP1,AMDP1,1245.574274,4,40
MULP1,KDJP1,1218.599788,4,41
MULP1,BHCP1,1227.013427,4,42
MULP1,KHRP1,1308.480804,4,43
MULP1,CORP1,1359.903178,4,44
MULP1,JHSP1,1364.921053,4,45
MULP1,IXWP1,1350.455284,4,46
MULP1,BHLP1,1412.442667,4,47
MULP1,VNSP1,1425.084922,4,48
MULP1,AUBP1,1425.557829,4,49
MULP1,KNUP1,1467.586677,4,50
MULP1,DBDP1,1450.430401,4,51
MULP1,CCUP1,1466.658676,4,52
MULP1,SYNP1,1537.291616,4,53
MULP1,JAIP1,1550.321809,4,54
MULP1,AGRP1,1561.028837,4,55
MULP1,AGRP2,1572.087814,4,56
MULP1,GKPP1,1584.567507,4,57
MULP1,BPCP1,1582.168093,4,58
MULP1,MZUP1,1613.513823,4,59
MULP1,DELP1,1686.919587,4,60
MULP1,DELP3,1742.427428,4,61
MULP1,PGHP1,1749.627551,4,62
MULP1,NJPP1,1820.481975,4,63
MULP1,AMBP1,1905.91269,4,64
MULP1,BKSP1,1872.371248,4,65
MULP1,GAUP1,2008.345271,4,66
BLRP1,SXVP1,180.7175243,5,1
BLRP1,KRIP1,117.432144,5,2
BLRP1,BLRP2,65.43250029,5,3
BLRP1,MULP1,128.6999858,5,4
BLRP1,BLRP1,0,5,5
BLRP1,BAGP1,86.19568473,5,6
BLRP1,MAAP1,305.0837237,5,7
BLRP1,GDRP1,295.9928186,5,8
BLRP1,CTAP1,160.906163,5,9
BLRP1,GTYP1,212.9683825,5,10
BLRP1,KRNP1,317.3801563,5,11
BLRP1,HBXP1,340.4991839,5,12
BLRP1,PGRP1,460.9405337,5,13
BLRP1,VGAP1,510.3029845,5,14
BLRP1,BGMP1,421.9828734,5,15
BLRP1,HYDP1,461.9033281,5,16
BLRP1,HYDP2,498.2257137,5,17
BLRP1,NPWP1,495.2344948,5,18
BLRP1,TPNP1,537.6085775,5,19
BLRP1,SATP1,590.5495126,5,20
BLRP1,SSEP1,533.4317096,5,21
BLRP1,STRP1,619.5583393,5,22
BLRP1,NDCP1,665.3340762,5,23
BLRP1,VTZP1,783.0789069,5,24
BLRP1,ADBP1,725.3974946,5,25
BLRP1,PNQP1,722.9442646,5,26
BLRP1,AWBP1,770.4399209,5,27
BLRP1,MLGP1,788.5282609,5,28
BLRP1,BOMP1,814.3755516,5,29
BLRP1,NAGP1,901.3004879,5,30
BLRP1,DHIP1,898.0183964,5,31
BLRP1,VAPP1,927.0294732,5,32
BLRP1,BAMP1,1048.483495,5,33
BLRP1,RPRP1,1003.471629,5,34
BLRP1,STVP1,1003.223668,5,35
BLRP1,IDRP1,1067.781745,5,36
BLRP1,NURP1,1104.2678,5,37
BLRP1,SBPP1,1152.892041,5,38
BLRP1,BDQP1,1105.765587,5,39
BLRP1,AMDP1,1191.873704,5,40
BLRP1,KDJP1,1304.852231,5,41
BLRP1,BHCP1,1321.251393,5,42
BLRP1,KHRP1,1269.347273,5,43
BLRP1,CORP1,1332.394039,5,44
BLRP1,JHSP1,1375.027292,5,45
BLRP1,IXWP1,1433.986094,5,46
BLRP1,BHLP1,1385.85894,5,47
BLRP1,VNSP1,1476.457601,5,48
BLRP1,AUBP1,1487.762072,5,49
BLRP1,KNUP1,1494.877779,5,50
BLRP1,DBDP1,1529.906693,5,51
BLRP1,CCUP1,1560.484382,5,52
BLRP1,SYNP1,1542.363932,5,53
BLRP1,JAIP1,1536.250156,5,54
BLRP1,AGRP1,1567.903582,5,55
BLRP1,AGRP2,1576.079463,5,56
BLRP1,GKPP1,1631.672885,5,57
BLRP1,BPCP1,1669.573816,5,58
BLRP1,MZUP1,1676.178128,5,59
BLRP1,DELP1,1683.650109,5,60
BLRP1,DELP3,1741.704763,5,61
BLRP1,PGHP1,1766.07924,5,62
BLRP1,NJPP1,1897.571771,5,63
BLRP1,AMBP1,1903.700582,5,64
BLRP1,BKSP1,1956.235964,5,65
BLRP1,GAUP1,2098.982248,5,66
BAGP1,SXVP1,231.7069717,6,1
BAGP1,KRIP1,143.5328216,6,2
BAGP1,BLRP2,107.6275717,6,3
BAGP1,MULP1,99.18720543,6,4
BAGP1,BLRP1,86.19568473,6,5
BAGP1,BAGP1,0,6,6
BAGP1,MAAP1,264.0643308,6,7
BAGP1,GDRP1,226.5525846,6,8
BAGP1,CTAP1,165.6189419,6,9
BAGP1,GTYP1,143.1329834,6,10
BAGP1,KRNP1,240.8789548,6,11
BAGP1,HBXP1,339.8634571,6,12
BAGP1,PGRP1,374.7473852,6,13
BAGP1,VGAP1,424.7319815,6,14
BAGP1,BGMP1,418.7435138,6,15
BAGP1,HYDP1,385.0951396,6,16
BAGP1,HYDP2,422.8554806,6,17
BAGP1,NPWP1,483.844783,6,18
BAGP1,TPNP1,460.4137574,6,19
BAGP1,SATP1,504.4557206,6,20
BAGP1,SSEP1,488.5989522,6,21
BAGP1,STRP1,598.1098724,6,22
BAGP1,NDCP1,599.0689141,6,23
BAGP1,VTZP1,699.1299138,6,24
BAGP1,ADBP1,650.0993756,6,25
BAGP1,PNQP1,696.8405921,6,26
BAGP1,AWBP1,720.8752237,6,27
BAGP1,MLGP1,724.6127868,6,28
BAGP1,BOMP1,790.175152,6,29
BAGP1,NAGP1,825.2660304,6,30
BAGP1,DHIP1,850.9139563,6,31
BAGP1,VAPP1,897.4135804,6,32
BAGP1,BAMP1,964.0940976,6,33
BAGP1,RPRP1,919.2201211,6,34
BAGP1,STVP1,968.7636431,6,35
BAGP1,IDRP1,1009.09289,6,36
BAGP1,NURP1,1028.331245,6,37
BAGP1,SBPP1,1066.714602,6,38
BAGP1,BDQP1,1064.992051,6,39
BAGP1,AMDP1,1153.280905,6,40
BAGP1,KDJP1,1218.946472,6,41
BAGP1,BHCP1,1236.277016,6,42
BAGP1,KHRP1,1221.453965,6,43
BAGP1,CORP1,1277.872392,6,44
BAGP1,JHSP1,1303.140821,6,45
BAGP1,IXWP1,1347.898328,6,46
BAGP1,BHLP1,1330.889038,6,47
BAGP1,VNSP1,1392.916166,6,48
BAGP1,AUBP1,1402.589804,6,49
BAGP1,KNUP1,1417.23122,6,50
BAGP1,DBDP1,1443.71302,6,51
BAGP1,CCUP1,1475.354981,6,52
BAGP1,SYNP1,1472.604714,6,53
BAGP1,JAIP1,1474.987358,6,54
BAGP1,AGRP1,1497.447525,6,55
BAGP1,AGRP2,1506.785996,6,56
BAGP1,GKPP1,1549.037475,6,57
BAGP1,BPCP1,1583.688869,6,58
BAGP1,MZUP1,1591.00442,6,59
BAGP1,DELP1,1617.512115,6,60
BAGP1,DELP3,1674.504329,6,61
BAGP1,PGHP1,1692.182346,6,62
BAGP1,NJPP1,1811.399899,6,63
BAGP1,AMBP1,1837.244336,6,64
BAGP1,BKSP1,1870.120892,6,65
BAGP1,GAUP1,2013.33616,6,66
MAAP1,SXVP1,270.9805777,7,1
MAAP1,KRIP1,217.9513702,7,2
MAAP1,BLRP2,254.3961352,7,3
MAAP1,MULP1,176.8805474,7,4
MAAP1,BLRP1,305.0837237,7,5
MAAP1,BAGP1,264.0643308,7,6
MAAP1,MAAP1,0.000134414,7,7
MAAP1,GDRP1,120.8282938,7,8
MAAP1,CTAP1,429.6105389,7,9
MAAP1,GTYP1,348.7460425,7,10
MAAP1,KRNP1,390.8825884,7,11
MAAP1,HBXP1,599.7324818,7,12
MAAP1,PGRP1,377.4381027,7,13
MAAP1,VGAP1,380.2724213,7,14
MAAP1,BGMP1,675.9034813,7,15
MAAP1,HYDP1,500.7912565,7,16
MAAP1,HYDP2,540.4412219,7,17
MAAP1,NPWP1,734.1449229,7,18
MAAP1,TPNP1,562.520225,7,19
MAAP1,SATP1,466.8144683,7,20
MAAP1,SSEP1,694.5517671,7,21
MAAP1,STRP1,835.6959252,7,22
MAAP1,NDCP1,739.0291527,7,23
MAAP1,VTZP1,591.5698937,7,24
MAAP1,ADBP1,744.5594315,7,25
MAAP1,PNQP1,926.044211,7,26
MAAP1,AWBP1,905.1182067,7,27
MAAP1,MLGP1,865.7770894,7,28
MAAP1,BOMP1,1020.158444,7,29
MAAP1,NAGP1,904.7689289,7,30
MAAP1,DHIP1,1036.843748,7,31
MAAP1,VAPP1,1117.266874,7,32
MAAP1,BAMP1,850.6215237,7,33
MAAP1,RPRP1,921.3829101,7,34
MAAP1,STVP1,1178.889003,7,35
MAAP1,IDRP1,1157.915853,7,36
MAAP1,NURP1,1100.177742,7,37
MAAP1,SBPP1,1010.61357,7,38
MAAP1,BDQP1,1260.696428,7,39
MAAP1,AMDP1,1352.276352,7,40
MAAP1,KDJP1,1131.116516,7,41
MAAP1,BHCP1,1125.413078,7,42
MAAP1,KHRP1,1397.541052,7,43
MAAP1,CORP1,1434.285329,7,44
MAAP1,JHSP1,1390.64696,7,45
MAAP1,IXWP1,1265.964908,7,46
MAAP1,BHLP1,1485.064576,7,47
MAAP1,VNSP1,1390.90309,7,48
MAAP1,AUBP1,1374.724376,7,49
MAAP1,KNUP1,1468.108529,7,50
MAAP1,DBDP1,1371.615613,7,51
MAAP1,CCUP1,1363.404812,7,52
MAAP1,SYNP1,1567.63223,7,53
MAAP1,JAIP1,1605.668416,7,54
MAAP1,AGRP1,1588.679843,7,55
MAAP1,AGRP2,1603.49772,7,56
MAAP1,GKPP1,1554.938972,7,57
MAAP1,BPCP1,1488.966196,7,58
MAAP1,MZUP1,1559.944378,7,59
MAAP1,DELP1,1726.858493,7,60
MAAP1,DELP3,1778.492408,7,61
MAAP1,PGHP1,1762.32837,7,62
MAAP1,NJPP1,1742.498385,7,63
MAAP1,AMBP1,1942.658671,7,64
MAAP1,BKSP1,1783.092699,7,65
MAAP1,GAUP1,1907.202755,7,66
GDRP1,SXVP1,332.583665,8,1
GDRP1,KRIP1,252.4588071,8,2
GDRP1,BLRP2,267.4645975,8,3
GDRP1,MULP1,179.6379295,8,4
GDRP1,BLRP1,295.9928186,8,5
GDRP1,BAGP1,226.5525846,8,6
GDRP1,MAAP1,120.8282938,8,7
GDRP1,GDRP1,0,8,8
GDRP1,CTAP1,379.7042772,8,9
GDRP1,GTYP1,262.3985926,8,10
GDRP1,KRNP1,282.1471028,8,11
GDRP1,HBXP1,532.366162,8,12
GDRP1,PGRP1,259.3275339,8,13
GDRP1,VGAP1,271.4091971,8,14
GDRP1,BGMP1,602.7734759,8,15
GDRP1,HYDP1,382.1255733,8,16
GDRP1,HYDP2,421.4047907,8,17
GDRP1,NPWP1,652.4550702,8,18
GDRP1,TPNP1,442.2151106,8,19
GDRP1,SATP1,359.1753016,8,20
GDRP1,SSEP1,590.047084,8,21
GDRP1,STRP1,743.104504,8,22
GDRP1,NDCP1,620.3954171,8,23
GDRP1,VTZP1,511.4827123,8,24
GDRP1,ADBP1,623.7339266,8,25
GDRP1,PNQP1,827.8444253,8,26
GDRP1,AWBP1,792.1710945,8,27
GDRP1,MLGP1,746.6267001,8,28
GDRP1,BOMP1,921.5170383,8,29
GDRP1,NAGP1,784.5773274,8,30
GDRP1,DHIP1,923.4479313,8,31
GDRP1,VAPP1,1013.436304,8,32
GDRP1,BAMP1,776.4042431,8,33
GDRP1,RPRP1,811.0450604,8,34
GDRP1,STVP1,1071.208545,8,35
GDRP1,IDRP1,1038.637979,8,36
GDRP1,NURP1,980.896984,8,37
GDRP1,SBPP1,915.9142758,8,38
GDRP1,BDQP1,1148.570407,8,39
GDRP1,AMDP1,1240.668183,8,40
GDRP1,KDJP1,1048.217835,8,41
GDRP1,BHCP1,1051.888113,8,42
GDRP1,KHRP1,1281.086588,8,43
GDRP1,CORP1,1315.260446,8,44
GDRP1,JHSP1,1270.704802,8,45
GDRP1,IXWP1,1181.50826,8,46
GDRP1,BHLP1,1365.769864,8,47
GDRP1,VNSP1,1283.596016,8,48
GDRP1,AUBP1,1273.634197,8,49
GDRP1,KNUP1,1351.757997,8,50
GDRP1,DBDP1,1284.061574,8,51
GDRP1,CCUP1,1291.373394,8,52
GDRP1,SYNP1,1447.417861,8,53
GDRP1,JAIP1,1484.977129,8,54
GDRP1,AGRP1,1468.684449,8,55
GDRP1,AGRP2,1483.222984,8,56
GDRP1,GKPP1,1446.390649,8,57
GDRP1,BPCP1,1410.220988,8,58
GDRP1,MZUP1,1460.299089,8,59
GDRP1,DELP1,1606.175653,8,60
GDRP1,DELP3,1657.99093,8,61
GDRP1,PGHP1,1644.166486,8,62
GDRP1,NJPP1,1654.95256,8,63
GDRP1,AMBP1,1822.158578,8,64
GDRP1,BKSP1,1702.161485,8,65
GDRP1,GAUP1,1834.115784,8,66
CTAP1,SXVP1,339.2183154,9,1
CTAP1,KRIP1,276.3123927,9,2
CTAP1,BLRP2,225.1607715,9,3
CTAP1,MULP1,260.7846741,9,4
CTAP1,BLRP1,160.906163,9,5
CTAP1,BAGP1,165.6189419,9,6
CTAP1,MAAP1,429.6105389,9,7
CTAP1,GDRP1,379.7042772,9,8
CTAP1,CTAP1,0,9,9
CTAP1,GTYP1,163.0746803,9,10
CTAP1,KRNP1,258.4036478,9,11
CTAP1,HBXP1,180.5588058,9,12
CTAP1,PGRP1,453.6717906,9,13
CTAP1,VGAP1,518.8306253,9,14
CTAP1,BGMP1,261.7883398,9,15
CTAP1,HYDP1,387.7533101,9,16
CTAP1,HYDP2,416.7221293,9,17
CTAP1,NPWP1,334.3316596,9,18
CTAP1,TPNP1,460.2464935,9,19
CTAP1,SATP1,585.3237621,9,20
CTAP1,SSEP1,390.5776238,9,21
CTAP1,STRP1,459.8546127,9,22
CTAP1,NDCP1,552.7211501,9,23
CTAP1,VTZP1,799.6885407,9,24
CTAP1,ADBP1,634.7873716,9,25
CTAP1,PNQP1,564.3817699,9,26
CTAP1,AWBP1,629.0125054,9,27
CTAP1,MLGP1,668.5378873,9,28
CTAP1,BOMP1,654.946156,9,29
CTAP1,NAGP1,809.5700952,9,30
CTAP1,DHIP1,752.7634847,9,31
CTAP1,VAPP1,769.2767604,9,32
CTAP1,BAMP1,1057.887553,9,33
CTAP1,RPRP1,949.5870148,9,34
CTAP1,STVP1,847.6397873,9,35
CTAP1,IDRP1,935.7929313,9,36
CTAP1,NURP1,1009.670554,9,37
CTAP1,SBPP1,1126.432059,9,38
CTAP1,BDQP1,953.9586362,9,39
CTAP1,AMDP1,1038.304696,9,40
CTAP1,KDJP1,1292.987721,9,41
CTAP1,BHCP1,1322.723128,9,42
CTAP1,KHRP1,1123.105227,9,43
CTAP1,CORP1,1193.287962,9,44
CTAP1,JHSP1,1266.814335,9,45
CTAP1,IXWP1,1416.263143,9,46
CTAP1,BHLP1,1247.124439,9,47
CTAP1,VNSP1,1412.935956,9,48
CTAP1,AUBP1,1438.252923,9,49
CTAP1,KNUP1,1403.164744,9,50
CTAP1,DBDP1,1504.890064,9,51
CTAP1,CCUP1,1558.837542,9,52
CTAP1,SYNP1,1428.213077,9,53
CTAP1,JAIP1,1405.950906,9,54
CTAP1,AGRP1,1455.252986,9,55
CTAP1,AGRP2,1460.742145,9,56
CTAP1,GKPP1,1561.542421,9,57
CTAP1,BPCP1,1656.051568,9,58
CTAP1,MZUP1,1625.673226,9,59
CTAP1,DELP1,1561.399445,9,60
CTAP1,DELP3,1621.359844,9,61
CTAP1,PGHP1,1661.433733,9,62
CTAP1,NJPP1,1866.17591,9,63
CTAP1,AMBP1,1781.436591,9,64
CTAP1,BKSP1,1935.056131,9,65
CTAP1,GAUP1,2088.322658,9,66
GTYP1,SXVP1,374.8371001,10,1
GTYP1,KRIP1,285.6099395,10,2
GTYP1,BLRP2,250.2220457,10,3
GTYP1,MULP1,226.3188365,10,4
GTYP1,BLRP1,212.9683825,10,5
GTYP1,BAGP1,143.1329834,10,6
GTYP1,MAAP1,348.7460425,10,7
GTYP1,GDRP1,262.3985926,10,8
GTYP1,CTAP1,163.0746803,10,9
GTYP1,GTYP1,0,10,10
GTYP1,KRNP1,106.6469161,10,11
GTYP1,HBXP1,275.4077737,10,12
GTYP1,PGRP1,290.5994201,10,13
GTYP1,VGAP1,356.3825509,10,14
GTYP1,BGMP1,341.6198758,10,15
GTYP1,HYDP1,249.8648853,10,16
GTYP1,HYDP2,285.4546348,10,17
GTYP1,NPWP1,390.2582749,10,18
GTYP1,TPNP1,325.538062,10,19
GTYP1,SATP1,422.361217,10,20
GTYP1,SSEP1,355.0700276,10,21
GTYP1,STRP1,486.9590173,10,22
GTYP1,NDCP1,456.14637,10,23
GTYP1,VTZP1,637.0797799,10,24
GTYP1,ADBP1,512.4717948,10,25
GTYP1,PNQP1,578.3507303,10,26
GTYP1,AWBP1,582.0344953,10,27
GTYP1,MLGP1,581.4916204,10,28
GTYP1,BOMP1,672.4840987,10,29
GTYP1,NAGP1,688.4409288,10,30
GTYP1,DHIP1,713.0361363,10,31
GTYP1,VAPP1,773.1617032,10,32
GTYP1,BAMP1,894.8133393,10,33
GTYP1,RPRP1,801.8420751,10,34
GTYP1,STVP1,839.6670139,10,35
GTYP1,IDRP1,866.3283852,10,36
GTYP1,NURP1,891.3591251,10,37
GTYP1,SBPP1,968.4443801,10,38
GTYP1,BDQP1,930.5786476,10,39
GTYP1,AMDP1,1020.18711,10,40
GTYP1,KDJP1,1131.971301,10,41
GTYP1,BHCP1,1160.064982,10,42
GTYP1,KHRP1,1082.375635,10,43
GTYP1,CORP1,1136.006386,10,44
GTYP1,JHSP1,1162.704307,10,45
GTYP1,IXWP1,1256.534018,10,46
GTYP1,BHLP1,1188.863219,10,47
GTYP1,VNSP1,1271.42304,10,48
GTYP1,AUBP1,1289.380322,10,49
